x,y,action_density
4.545454545454544970e+00,0.000000000000000000e+00,2.505553664171646377e-01
4.646464646464646187e+00,0.000000000000000000e+00,2.505818293651385087e-01
4.747474747474747403e+00,0.000000000000000000e+00,2.506552853949300386e-01
4.848484848484848619e+00,0.000000000000000000e+00,2.507322355251706547e-01
4.949494949494949836e+00,0.000000000000000000e+00,2.507796085865151015e-01
5.050505050505050164e+00,0.000000000000000000e+00,2.507796085865151015e-01
5.151515151515151381e+00,0.000000000000000000e+00,2.507322355251706547e-01
5.252525252525252597e+00,0.000000000000000000e+00,2.506552853949300386e-01
5.353535353535353813e+00,0.000000000000000000e+00,2.505818293651385087e-01
5.454545454545454142e+00,0.000000000000000000e+00,2.505553664171646377e-01
5.555555555555555358e+00,0.000000000000000000e+00,2.506230370871861957e-01
5.656565656565656575e+00,0.000000000000000000e+00,2.508274737228816664e-01
5.757575757575757791e+00,0.000000000000000000e+00,2.511980333813494948e-01
5.858585858585858119e+00,0.000000000000000000e+00,2.517422945283775970e-01
5.959595959595959336e+00,0.000000000000000000e+00,2.524387740022278614e-01
6.060606060606060552e+00,0.000000000000000000e+00,2.532318111725666565e-01
6.161616161616161769e+00,0.000000000000000000e+00,2.540294516920941215e-01
6.262626262626262097e+00,0.000000000000000000e+00,2.547049349156783604e-01
6.363636363636363313e+00,0.000000000000000000e+00,2.551020548484522199e-01
6.464646464646464530e+00,0.000000000000000000e+00,2.550442516396558279e-01
6.565656565656565746e+00,0.000000000000000000e+00,2.543468447031241308e-01
6.666666666666666963e+00,0.000000000000000000e+00,2.528313981310323921e-01
6.767676767676767291e+00,0.000000000000000000e+00,2.503408770724904198e-01
6.868686868686868507e+00,0.000000000000000000e+00,2.467540664472935574e-01
6.969696969696969724e+00,0.000000000000000000e+00,2.419977195045856511e-01
7.070707070707070940e+00,0.000000000000000000e+00,2.357105598435766947e-01
7.171717171717171269e+00,0.000000000000000000e+00,2.269571617313123069e-01
7.272727272727272485e+00,0.000000000000000000e+00,2.158557948542442206e-01
7.373737373737373701e+00,0.000000000000000000e+00,2.027005347258471757e-01
7.474747474747474918e+00,0.000000000000000000e+00,1.878769965937407416e-01
7.575757575757575246e+00,0.000000000000000000e+00,1.718349710658605145e-01
7.676767676767676463e+00,0.000000000000000000e+00,1.550574219470129134e-01
7.777777777777777679e+00,0.000000000000000000e+00,1.380289224422848182e-01
7.878787878787878896e+00,0.000000000000000000e+00,1.212064505935091241e-01
7.979797979797979224e+00,0.000000000000000000e+00,1.049949703314927152e-01
8.080808080808081328e+00,0.000000000000000000e+00,8.972948626105912984e-02
8.181818181818181657e+00,0.000000000000000000e+00,7.566440084960471268e-02
8.282828282828281985e+00,0.000000000000000000e+00,6.297014933317607310e-02
8.383838383838384090e+00,0.000000000000000000e+00,5.173635139135844552e-02
8.484848484848484418e+00,0.000000000000000000e+00,4.198017862837677416e-02
8.585858585858586522e+00,0.000000000000000000e+00,3.365833243972740640e-02
8.686868686868686851e+00,0.000000000000000000e+00,2.668095740163297508e-02
8.787878787878787179e+00,0.000000000000000000e+00,2.092594727521723819e-02
8.888888888888889284e+00,0.000000000000000000e+00,1.625237853218724354e-02
8.989898989898989612e+00,0.000000000000000000e+00,1.251216527157424790e-02
9.090909090909089940e+00,0.000000000000000000e+00,9.559407340054577179e-03
9.191919191919192045e+00,0.000000000000000000e+00,7.257249584799364654e-03
9.292929292929292373e+00,0.000000000000000000e+00,5.482349993672759603e-03
9.393939393939394478e+00,0.000000000000000000e+00,4.127251044735668478e-03
9.494949494949494806e+00,0.000000000000000000e+00,3.101060473182620791e-03
